price;discription;location;Bedrooms;Bathrooms;Parking_spaces;floor_size
;;Rembrandt Park;3;2;1;81 m²
;;Hyde Park;3;3;2;145 m²
;;Bryanston;3;2;2;101 m²
;;Pretoria Central;2;2;1;76 m²
;;Hyde Park;3;3;6;222 m²
680000;1 Bedroom Apartment;Greencreek Lifestlye Estate;1;1;1;44 m²
;;Bedfordview;2;2;2;85 m²
2850000;3 Bedroom Apartment;The Polofields;3;2;2;
385000;2 Bedroom Apartment;Vanderbijlpark CE 1;2;1;1;
598000;2 Bedroom Apartment;Winchester Hills;2;1;1;68 m²
490000;3 Bedroom Apartment;Pretoria North;3;1;1;95 m²
670000;2 Bedroom Apartment;Rynfield AH;2;2;1;80 m²
575000;Apartment;Lilianton;;;;
680000;1 Bedroom Apartment;Greencreek Lifestlye Estate;1;1;1;44 m²
870000;2 Bedroom Apartment;Waverley;2;1;1;82 m²
620000;2 Bedroom Apartment;Kleinfontein;2;1;1;59 m²
994000;2 Bedroom Apartment;Broadacres;2;1;2;
370000;2 Bedroom Apartment;Sunnyside;2;1;1;65 m²
1550000;1 Bedroom Apartment;Inanda;1;1;1;65 m²
765000;1 Bedroom Apartment;Modderfontein;1;1;1;44 m²
760000;3 Bedroom Apartment;Mindalore North;3;2;2;103 m²
395000;2 Bedroom Apartment;Vanderbijlpark CW 3;2;1;2;82 m²
;;;;;;
;;De Waterkant;4;4.5;3;619 m²
480000;2 Bedroom Apartment;Benoni Central;2;1;2;96 m²
410000;1 Bedroom Apartment;Benoni Central;1;1;1;75 m²
1175000;2 Bedroom Apartment;Celtisdal;2;2;2;71 m²
750000;2 Bedroom Apartment;Erand Gardens;2;1;2;69 m²
749000;1 Bedroom Apartment;Sunninghill;1;1;1;
230000;1 Bedroom Apartment;Pretoria Central;1;1;;36 m²
550000;1 Bedroom Apartment;Esther Park;1;1;1;42 m²
1100000;1 Bedroom Apartment;Bryanston;1;1;1;71 m²
1825000;1 Bedroom Apartment;Sandton Central;1;1;1;
1190000;2 Bedroom Apartment;Hatfield;2;2;1;62 m²
835000;2 Bedroom Apartment;Villieria;2;1;1;56 m²
2800000;2 Bedroom Apartment;Sandton Central;2;2;2;79 m²
1550000;2 Bedroom Apartment;Eden Glen;2;2;2;97 m²
1900000;4 Bedroom Apartment;Illovo;4;2.5;2;196 m²
400000;1.5 Bedroom Apartment;Sunnyside;1.5;1;1;
610000;3 Bedroom Apartment;The Orchards;3;1;1;
459990;2 Bedroom Apartment;Meyerton Central;2;1;1;
599000;1 Bedroom Apartment;Sonneglans;1;1;1;39 m²
585000;3 Bedroom Apartment;Muckleneuk;3;1;1;66 m²
1249000;2 Bedroom Apartment;Rivonia;2;2;2;72 m²
750000;2 Bedroom Apartment;Erand Gardens;2;1;2;69 m²
;;;;;;
;;Rembrandt Park;2;1;1;69 m²
650000;2 Bedroom Apartment;Sylviavale;2;2;1;
1775000;2 Bedroom Apartment;Bryanston;2;2;2;121 m²
500000;2 Bedroom Apartment;Norkem Park;2;1;1;
850000;2 Bedroom Apartment;Pretoria North;2;1;1;64 m²
600000;3 Bedroom Apartment;Jabulani;3;1;1;50 m²
810000;2 Bedroom Apartment;Magalieskruin;2;1;1;72 m²
875000;2 Bedroom Apartment;Lonehill;2;1;1;93 m²
640000;2 Bedroom Apartment;Ferndale;2;1;1;
850000;2 Bedroom Apartment;Pretoria North;2;1;1;64 m²
860000;2 Bedroom Apartment;Sonneglans;2;1;2;90 m²
595000;2 Bedroom Apartment;Beyers Park;2;1;2;64 m²
1499000;2 Bedroom Apartment;Wendywood;2;2;2;88 m²
695000;2 Bedroom Apartment;Dan Pienaarville;2;1;1;74 m²
699000;1 Bedroom Apartment;Houghton Estate;1;1;1;78 m²
470000;1 Bedroom Apartment;Hesteapark;1;1;1;42 m²
450000;2 Bedroom Apartment;Weavind Park;2;1;2;
699000;1 Bedroom Apartment;Parktown;1;1;1;63 m²
1220000;3 Bedroom Apartment;Greenstone Hill;3;2;2;115 m²
680000;1 Bedroom Apartment;Rooihuiskraal North;1;1;1;58 m²
900000;3 Bedroom Apartment;Wilgeheuwel;3;2;2;
1750000;2 Bedroom Apartment;Braamfontein;2;2;;176 m²
;;;;;;
730000;2 Bedroom Apartment;Auckland Park;2;1;;
390000;2 Bedroom Apartment;Gezina;2;1;1;55 m²
2150000;2 Bedroom Apartment;The Polofields;2;2;2;
650000;2 Bedroom Apartment;Twee Riviere Lifestyle Estate;2;1;1;
930000;2 Bedroom Apartment;Vanderbijlpark SE 2;2;1;2;98 m²
500000;2 Bedroom Apartment;Ferreirasdorp;2;1;1;69 m²
320000;2 Bedroom Apartment;Vanderbijlpark CW 2;2;1;1;72 m²
795000;2 Bedroom Apartment;Ravenswood;2;2;2;
1649000;3 Bedroom Apartment;Benmore Gardens;3;2;;146 m²
310000;2 Bedroom Apartment;Peacehaven;2;1;;71 m²
735000;2 Bedroom Apartment;Pretoria North;2;1;1;74 m²
1999000;2 Bedroom Apartment;Parkmore;2;2;2;124 m²
580000;1 Bedroom Apartment;Sunninghill;1;1;1;54 m²
650000;2 Bedroom Apartment;Twee Riviere Lifestyle Estate;2;1;1;
1950000;2 Bedroom Apartment;Dunkeld West;2;2;1;128 m²
920000;Apartment;Meyerton Central;;;;
599000;2 Bedroom Apartment;Jabulani;2;1;1;41 m²
300000;2 Bedroom Apartment;Wentworth Park;2;1;;70 m²
790000;2 Bedroom Apartment;Paulshof;2;2;2;71 m²
800000;2 Bedroom Apartment;Wilro Park;2;1;1;68 m²
950000;3 Bedroom Apartment;Noordwyk;3;2;2;108 m²
;;;;;;
750000;2 Bedroom Apartment;Sinoville;2;2;1;
485000;3 Bedroom Apartment;Berea;3;2;1;
680000;2 Bedroom Apartment;Dayanglen;2;1;1;
2200000;2 Bedroom Apartment;Sandhurst;2;3;2;173 m²
1200000;2 Bedroom Apartment;Vorna Valley;2;2;2;62 m²
780000;2 Bedroom Apartment;Ferndale;2;1;1;56 m²
470000;1 Bedroom Apartment;Hesteapark;1;1;1;
440000;1 Bedroom Apartment;Parkrand;1;1;2;41 m²
440000;1 Bedroom Apartment;Parkrand;1;1;2;41 m²
900000;1 Bedroom Apartment;Linbro Park;1;1;1;50 m²
1600000;3 Bedroom Apartment;Dowerglen Ext 4;3;2;2;120 m²
865000;2 Bedroom Apartment;Florauna;2;1;2;
3159900;3 Bedroom Apartment;Waterfall;3;2;2;
530000;2 Bedroom Apartment;Sunnyside;2;1;1;68 m²
720000;2 Bedroom Apartment;Sugar Bush Estate;2;1;1;65 m²
850000;2 Bedroom Apartment;North Riding;2;2;2;71 m²
820000;2 Bedroom Apartment;Hazeldean;2;2;;79 m²
1600000;3 Bedroom Apartment;Sunward Park;3;2;3;155 m²
850000;2 Bedroom Apartment;Benoni Central;2;1.5;3;90 m²
899000;3 Bedroom Apartment;Magalieskruin;3;2;2;118 m²
790000;2 Bedroom Apartment;Hazeldean;2;2;1;79 m²
;;;;;;
1600000;2 Bedroom Apartment;Waterfall;2;2;4;107 m²
835000;2 Bedroom Apartment;Sunnyside;2;1;1;56 m²
750000;2 Bedroom Apartment;Summerset;2;1;2;
800000;1 Bedroom Apartment;Lonehill;1;1;1;84 m²
610000;2 Bedroom Apartment;Cruywagen Park;2;1;1;65 m²
;1 Bedroom Apartment;Edenvale Central;1;1;1;53 m²
675000;2 Bedroom Apartment;Brummeria;2;1.5;2;78 m²
1600000;3 Bedroom Apartment;Fourways;3;2;3;107 m²
729000;1 Bedroom Apartment;Hatfield;1;1;1;44 m²
615000;2 Bedroom Apartment;Albemarle;2;1;1;54 m²
480000;2 Bedroom Apartment;Comet;2;1;;50 m²
675000;2 Bedroom Apartment;Brummeria;2;1.5;2;78 m²
599000;2 Bedroom Apartment;Croydon;2;2;2;88 m²
499000;1 Bedroom Apartment;Bryanston;1;1;1;44 m²
730000;2 Bedroom Apartment;Dorandia;2;1;1;45 m²
660000;2 Bedroom Apartment;Little Falls;2;1;3;77 m²
580000;1 Bedroom Apartment;Lilianton;1;1;1;54 m²
850000;1 Bedroom Apartment;Modderfontein;1;1;1;48 m²
760000;3 Bedroom Apartment;Wonderboom South;3;1;1;91 m²
990000;3 Bedroom Apartment;Terenure;3;2;2;88 m²
;2 Bedroom Apartment;Gresswold;2;2;1;71 m²
;;;;;;
;2 Bedroom Apartment;Gresswold;2;2;1;71 m²
850000;2 Bedroom Apartment;Moreleta Park;2;1;2;94 m²
517000;2 Bedroom Apartment;The Orchards;2;1;1;47 m²
420000;2 Bedroom Apartment;Fleurhof;2;2;;
350000;2 Bedroom Apartment;Yeoville;2;2;1;
990000;3 Bedroom Apartment;Spartan;3;2;2;120 m²
499999;2 Bedroom Apartment;Olievenhoutbosch;2;1;1;46 m²
890000;1 Bedroom Apartment;Fourways;1;1;1;
430000;Apartment;Sunnyside;;;;68 m²
664999;2 Bedroom Apartment;Wadeville;2;1;2;50 m²
950000;2 Bedroom Apartment;Douglasdale;2;1;1;79 m²
1199000;2 Bedroom Apartment;Greenstone Hill;2;1;2;84 m²
3100000;2 Bedroom Apartment;Oaklands;2;2;2;193 m²
750000;2 Bedroom Apartment;Glen Marais;2;1;1;62 m²
2900000;2 Bedroom Apartment;Dunkeld;2;2.5;2;129 m²
2400000;3 Bedroom Apartment;Morningside;3;3;2;157 m²
780000;3 Bedroom Apartment;Linmeyer;3;2;2;
529000;2 Bedroom Apartment;Bonaero Park;2;1;2;77 m²
2900000;2 Bedroom Apartment;Dunkeld;2;2.5;2;129 m²
600000;3 Bedroom Apartment;Westdene;3;1;1;42 m²
990000;2 Bedroom Apartment;Broadacres;2;1;1;61 m²
;;;;;;
570000;2 Bedroom Apartment;Honeypark;2;1;1;60 m²
260000;1 Bedroom Apartment;Kempton Park Central;1;1;;30 m²
430000;1 Bedroom Apartment;Sunnyridge;1;1.5;1;65 m²
880000;2 Bedroom Apartment;Vanderbijlpark SE 2;2;1;1;71 m²
700000;2 Bedroom Apartment;Helderkruin;2;1;2;62 m²
1680000;3 Bedroom Apartment;Lynnwood Ridge;3;2;2;134 m²
889000;2 Bedroom Apartment;Montana;2;1;1;54 m²
599000;2 Bedroom Apartment;Fleurhof;2;1;1;41 m²
650000;2 Bedroom Apartment;Theresapark;2;1;1;67 m²
729999;2 Bedroom Apartment;Monavoni;2;1;1;75 m²
848999;2 Bedroom Apartment;Monavoni;2;1;2;56 m²
820000;2 Bedroom Apartment;Eveleigh;2;1;1;58 m²
665000;1 Bedroom Apartment;Fourways;1;1;1;45 m²
