price,discription,location,Bedrooms,Bathrooms,Parking_spaces,floor_size
680000.0,1 Bedroom Apartment,Greencreek Lifestlye Estate,1.0,1.0,1.0,44 m²
598000.0,2 Bedroom Apartment,Winchester Hills,2.0,1.0,1.0,68 m²
490000.0,3 Bedroom Apartment,Pretoria North,3.0,1.0,1.0,95 m²
670000.0,2 Bedroom Apartment,Rynfield AH,2.0,2.0,1.0,80 m²
680000.0,1 Bedroom Apartment,Greencreek Lifestlye Estate,1.0,1.0,1.0,44 m²
870000.0,2 Bedroom Apartment,Waverley,2.0,1.0,1.0,82 m²
620000.0,2 Bedroom Apartment,Kleinfontein,2.0,1.0,1.0,59 m²
370000.0,2 Bedroom Apartment,Sunnyside,2.0,1.0,1.0,65 m²
1550000.0,1 Bedroom Apartment,Inanda,1.0,1.0,1.0,65 m²
765000.0,1 Bedroom Apartment,Modderfontein,1.0,1.0,1.0,44 m²
760000.0,3 Bedroom Apartment,Mindalore North,3.0,2.0,2.0,103 m²
395000.0,2 Bedroom Apartment,Vanderbijlpark CW 3,2.0,1.0,2.0,82 m²
480000.0,2 Bedroom Apartment,Benoni Central,2.0,1.0,2.0,96 m²
410000.0,1 Bedroom Apartment,Benoni Central,1.0,1.0,1.0,75 m²
1175000.0,2 Bedroom Apartment,Celtisdal,2.0,2.0,2.0,71 m²
750000.0,2 Bedroom Apartment,Erand Gardens,2.0,1.0,2.0,69 m²
550000.0,1 Bedroom Apartment,Esther Park,1.0,1.0,1.0,42 m²
1100000.0,1 Bedroom Apartment,Bryanston,1.0,1.0,1.0,71 m²
1190000.0,2 Bedroom Apartment,Hatfield,2.0,2.0,1.0,62 m²
835000.0,2 Bedroom Apartment,Villieria,2.0,1.0,1.0,56 m²
2800000.0,2 Bedroom Apartment,Sandton Central,2.0,2.0,2.0,79 m²
1550000.0,2 Bedroom Apartment,Eden Glen,2.0,2.0,2.0,97 m²
1900000.0,4 Bedroom Apartment,Illovo,4.0,2.5,2.0,196 m²
599000.0,1 Bedroom Apartment,Sonneglans,1.0,1.0,1.0,39 m²
585000.0,3 Bedroom Apartment,Muckleneuk,3.0,1.0,1.0,66 m²
1249000.0,2 Bedroom Apartment,Rivonia,2.0,2.0,2.0,72 m²
